id,name,manufacturer,documentType,language,department
001-01-o2,001-01 O2,,SDS,English,Unassigned
159r1-cleaning-solvent-159,159R1 - Cleaning Solvent 159,Hai Kuang Packing Industries Sdn Bhd,SDS,English,Cleaning & Solvents
2132c-epoxy-putty-tds-v6,2132C Epoxy Putty TDS v6,,TDS,English,Adhesives & Sealants
5-karbon-dioksida-40-helium-baki-nitrogen,5 Karbon Dioksida 40 Helium Baki Nitrogen,,SDS,Malay,Welding & Industrial Gas
abate,ABATE,BASF Agro B.V. Arnhem (NL) Zürich,SDS,English,Pest Control & Sanitation
ad-ed-cutler-grey,AD ED Cutler Grey,Kansai Paint Asia Pacific Sdn Bhd,SDS,Malay,Paint & Coating
ad-en-tamco-lemon,AD EN Tamco Lemon,Kansai Paint Asia Pacific Sdn Bhd,SDS,English,Paint & Coating
ad-en-tamco-signal-red,AD EN Tamco SIgnal Red,Kansai Paint Asia Pacific Sdn Bhd,SDS,English,Paint & Coating
amoil-ampress-de-1-de-5,"Amoil Ampress DE 1, DE 5",Amoil (Malaysia) Sdn. Bhd.,SDS,English,Maintenance & Lubricants
amoil-ampress-de-5,Amoil Ampress DE 5,Amoil (Malaysia) Sdn. Bhd.,SDS,English,Maintenance & Lubricants
amoil-amtec,Amoil Amtec,Amoil (Malaysia) Sdn. Bhd.,SDS,English,Maintenance & Lubricants
amoil-celcon,"Amoil Celcon 000, 00, 0, 1, 2, 3",Amoil (Malaysia) Sdn. Bhd.,SDS,English,Maintenance & Lubricants
amoil-celcon-2,Amoil Celcon 2,Amoil (Malaysia) Sdn.Bhd,SDS,English,Maintenance & Lubricants
amoil-celcon-2-2022,Amoil Celcon 2,Amoil (Malaysia) Sdn. Bhd.,SDS,English,Maintenance & Lubricants
amoil-celplex-ep-1-ep-2,"Amoil Celplex EP 1, EP 2",Amoil (Malaysia) Sdn. Bhd.,SDS,English,Maintenance & Lubricants
amoil-celplex-ep-2-ms,Amoil Celplex EP 2,Amoil (Malaysia) Sdn. Bhd.,SDS,Malay,Maintenance & Lubricants
amoil-nautilus-hlp-series,Amoil Nautilus HLP Series,Amoil (Malaysia) Sdn. Bhd.,SDS,English,Maintenance & Lubricants
amoil-nautilus-hlp-series-ms,Amoil Nautilus HLP Series,Amoil (Malaysia) Sdn. Bhd.,SDS,Malay,Maintenance & Lubricants
amoil-nmp,Amoil NMP,Amoil (Malaysia) Sdn. Bhd.,SDS,English,Maintenance & Lubricants
anchor-spray-paint,Anchor spray paint,,SDS,English,Paint & Coating
anglo-robotik-grease,Anglo Robotik Grease,,SDS,Malay,Maintenance & Lubricants
anglo-uniplex-grease-nlgi-2,Anglo Uniplex Grease NLGI 2,,SDS,Malay,Maintenance & Lubricants
anglom-oil-g2163-grease,Anglom Oil G2163 Grease,,SDS,Malay,Maintenance & Lubricants
anglom-premium-hyrdaulic-oil,Anglom Premium Hyrdaulic Oil,,SDS,Malay,Maintenance & Lubricants
anti-foam,Anti-Foam,Castle Chemical Pty Ltd,SDS,English,Pest Control & Sanitation
argoshield-heavy-52,Argoshield Heavy 52,,SDS,English,Welding & Industrial Gas
aron-alpha-201,ARON ALPHA #201,"Company Name : TOAGOSEI CO.,LTD",SDS,English,Adhesives & Sealants
aron-alpha-201-en,ARON ALPHA #201,"Company Name : TOAGOSEI CO.,LTD",SDS,English,Adhesives & Sealants
aron-alpha-201-en-2,ARON ALPHA #201,"Company Name : TOAGOSEI CO.,LTD",SDS,English,Adhesives & Sealants
as-88-degreasing-and-safety-solvent-for-electrical-equipment,AS 88 degreasing and safety solvent for electrical equipment,,SDS,English,Surface Treatment & Plating
asahi-cored-flux-lead-free-solder-wire,Asahi Cored Flux Lead-Free Solder Wire,,SDS,English,Adhesives & Sealants
bpl-msds-large-acf-32,BPL MSDS Large ACF-32,,SDS,English,Unassigned
bromophenol-blue-indicator,Bromophenol Blue Indicator,,SDS,English,Laboratory & QC
carbon-dioxide,Carbon Dioxide,,SDS,English,Welding & Industrial Gas
carbon-dioxide-compressed,"Carbon Dioxide, Compressed",,SDS,Malay,Welding & Industrial Gas
carbon-dioxide-compressed-industrial,"Carbon Dioxide, Compressed (Industrial)",,SDS,English,Welding & Industrial Gas
carbon-dioxide-compressed-industrial-en,"Carbon Dioxide, Compressed (Industrial)",,SDS,English,Welding & Industrial Gas
corgon-20,Corgon 20,,SDS,English,Welding & Industrial Gas
distel-high-level-disinfectant,DISTEL HIGH LEVEL DISINFECTANT,Tristel Solutions Limited,SDS,English,Pest Control & Sanitation
electrolyte-f4,Electrolyte F4,Th. Geyer GmbH & Co. KG,SDS,English,Surface Treatment & Plating
electrolyte-f8,Electrolyte F8,,SDS,English,Surface Treatment & Plating
electrolyte-f9,Electrolyte F9,,SDS,English,Surface Treatment & Plating
f2-gp-thinner,F2 GP Thinner,LSC CHEMICAL & PAINTS SDN . BHD,SDS,English,Paint & Coating
fendona-sc-en,FENDONA SC,BASF Australia Limited (ABN 62 008 437 867),SDS,English,Pest Control & Sanitation
fendona-sc,Fendona SC,,SDS,Malay,Pest Control & Sanitation
g2163-grease,G2163 Grease,,SDS,English,Maintenance & Lubricants
gold-silver-polish,Gold & Silver Polish,,SDS,English,Cleaning & Solvents
hitary-928-poly-putty,Hitary 928 Poly Putty,Mercury Paints Factory Sdn Bhd,SDS,English,Paint & Coating
hp-dp-std-white,HP DP STD White,Kansai Paint Asia Pacific Sdn Bhd,SDS,Malay,Paint & Coating
inplex-2163-grease,Inplex 2163 Grease,,SDS,English,Maintenance & Lubricants
inplex-2163-grease-en,Inplex 2163 Grease,,SDS,English,Maintenance & Lubricants
isoflex-topas-nb-52,ISOFLEX TOPAS NB 52,,SDS,English,Maintenance & Lubricants
jotamastic-80-aluminium-comp-a,Jotamastic 80 Aluminium Comp A,,SDS,English,Unassigned
karbon-dioksida-cecair-sejuk,"Karbon Dioksida, cecair sejuk",,SDS,Malay,Welding & Industrial Gas
kl-beralfa-hbk-83-102,Klüberalfa HBK 83-102,Klüber Lubrication München GmbH & Co. KG,SDS,Malay,Maintenance & Lubricants
kl-beralfa-hbk-83-102-ms,Klüberalfa HBK 83-102,Klüber Lubrication München GmbH & Co. KG,SDS,Malay,Maintenance & Lubricants
krystal-aerosol-paint,KRYSTAL AEROSOL PAINT,WILRON PRODUCTS SDN. BHD,SDS,English,Paint & Coating
ks237-290922,KS237 290922,,SDS,Malay,Adhesives & Sealants
kth-spirit-methanol,KTH SPIRIT (methanol),,SDS,English,Laboratory & QC
kth-300-degree-c-aluminium,KTH-300-degree-C-Aluminium,,SDS,English,Unassigned
kth-sds-gp-457-thinner-2023,KTH-SDS-GP-457-THINNER-2023,,SDS,English,Paint & Coating
